,volume_fraction_al2o3,volume_fraction_zro2,chord_length_mean_al2o3,chord_length_mean_zro2,chord_length_variance_al2o3,chord_length_variance_zro2,interface_al2o3_al2o3,interface_al2o3_zro2,interface_zro2_zro2,thermal_conductivity_composite,thermal_conductivity_al2o3,thermal_conductivity_zro2,temperature,data_source_Al2O3,rve,tcc,RVE_scaling_factor
rve_361/sim_0/results__thermal_conductivity.json,0.40621,0.59379,9.909399999999999e-06,1.5782e-05,5.150199999999999e-06,7.227199999999999e-06,0.2825,0.4754,0.2421,9.33809144,33.525106813241564,2.9587838342665,25,Jahm,rve_361,377000000.0,2.3e-06
rve_362/sim_0/results__thermal_conductivity.json,0.61735,0.38265,1.0845e-05,1.0476000000000001e-05,4.9964e-06,4.8929e-06,0.37209,0.47725,0.15066,15.2233477,33.525106813241564,2.9587838342665,25,Jahm,rve_362,377000000.0,2.3e-06
rve_363/sim_0/results__thermal_conductivity.json,0.65689,0.34311,1.422e-05,7.9096e-06,6.7723e-06,4.3635e-06,0.2668,0.49682,0.23638,16.1749089,33.525106813241564,2.9587838342665,25,Jahm,rve_363,377000000.0,2.3e-06
rve_364/sim_0/results__thermal_conductivity.json,0.69408,0.30592,1.7429e-05,8.392099999999999e-06,7.9978e-06,4.7135e-06,0.26605,0.50759,0.22636,17.5047877,33.525106813241564,2.9587838342665,25,Jahm,rve_364,377000000.0,2.3e-06
rve_365/sim_0/results__thermal_conductivity.json,0.26421,0.73579,7.1985e-06,2.6219e-05,4.3859e-06,1.3093e-05,0.37402,0.3872,0.23878,7.05840602,33.525106813241564,2.9587838342665,25,Jahm,rve_365,377000000.0,2.3e-06
rve_366/sim_0/results__thermal_conductivity.json,0.70276,0.29724,1.0593999999999999e-05,1.4826999999999999e-05,5.135399999999999e-06,6.480599999999999e-06,0.57732,0.37624,0.04644,18.8099587,33.525106813241564,2.9587838342665,25,Jahm,rve_366,377000000.0,2.3e-06
rve_367/sim_0/results__thermal_conductivity.json,0.2187,0.7813,6.9271999999999995e-06,1.6061e-05,4.1969000000000004e-06,7.8063e-06,0.18209,0.42303,0.39488,6.09608461,33.525106813241564,2.9587838342665,25,Jahm,rve_367,377000000.0,2.3e-06
rve_368/sim_0/results__thermal_conductivity.json,0.79751,0.20249,1.2407999999999999e-05,8.5524e-06,5.9832e-06,4.5022e-06,0.53134,0.3988,0.069859,21.5437568,33.525106813241564,2.9587838342665,25,Jahm,rve_368,377000000.0,2.3e-06
rve_369/sim_0/results__thermal_conductivity.json,0.11052,0.88948,7.0913999999999996e-06,1.2377999999999999e-05,3.7648999999999997e-06,5.8543e-06,0.047464,0.26152,0.69102,4.15515994,33.525106813241564,2.9587838342665,25,Jahm,rve_369,377000000.0,2.3e-06
rve_371/sim_0/results__thermal_conductivity.json,0.79506,0.20494,9.9916e-06,1.2432e-05,4.811399999999999e-06,5.777899999999999e-06,0.6978,0.26218,0.040025,21.4347821,33.525106813241564,2.9587838342665,25,Jahm,rve_371,377000000.0,2.3e-06
rve_372/sim_0/results__thermal_conductivity.json,0.29615,0.70385,8.774800000000001e-06,2.9148999999999998e-05,5.692899999999999e-06,1.3926e-05,0.32912,0.51018,0.1607,8.10073848,33.525106813241564,2.9587838342665,25,Jahm,rve_372,377000000.0,2.3e-06
rve_373/sim_0/results__thermal_conductivity.json,0.21318,0.78682,2.4046e-05,1.2615999999999999e-05,9.8989e-06,6.0724e-06,0.0005711,0.24729,0.75214,5.14265851,33.525106813241564,2.9587838342665,25,Jahm,rve_373,377000000.0,2.3e-06
rve_374/sim_0/results__thermal_conductivity.json,0.18056,0.81944,1.4734999999999999e-05,1.3814e-05,7.1436e-06,6.5183e-06,0.040648,0.26151,0.69784,5.03026649,33.525106813241564,2.9587838342665,25,Jahm,rve_374,377000000.0,2.3e-06
rve_376/sim_0/results__thermal_conductivity.json,0.87592,0.12408,1.2134e-05,7.098499999999999e-06,6.0101e-06,4.187700000000001e-06,0.6489,0.31073,0.040372,24.379762,33.525106813241564,2.9587838342665,25,Jahm,rve_376,377000000.0,2.3e-06
rve_377/sim_0/results__thermal_conductivity.json,0.39523,0.60477,7.6764e-06,1.9859e-05,4.7365e-06,9.721399999999998e-06,0.42868,0.39761,0.17371,9.95157372,33.525106813241564,2.9587838342665,25,Jahm,rve_377,377000000.0,2.3e-06
rve_378/sim_0/results__thermal_conductivity.json,0.8083,0.1917,1.6309999999999998e-05,6.3171e-06,7.8754e-06,3.8306e-06,0.43032,0.38591,0.18377,22.1882725,33.525106813241564,2.9587838342665,25,Jahm,rve_378,377000000.0,2.3e-06
rve_379/sim_0/results__thermal_conductivity.json,0.30574,0.69426,8.5235e-06,4.8701e-05,5.2071e-06,1.4975e-05,0.53853,0.46147,,8.1295291,33.525106813241564,2.9587838342665,25,Jahm,rve_379,377000000.0,2.3e-06
rve_384/sim_0/results__thermal_conductivity.json,0.91325,0.08675,1.7725e-05,7.526299999999999e-06,8.9582e-06,4.4399e-06,0.66075,0.31087,0.028378,26.921082,33.525106813241564,2.9587838342665,25,Jahm,rve_384,377000000.0,2.3e-06
rve_385/sim_0/results__thermal_conductivity.json,0.52957,0.47043,1.5128e-05,1.1403e-05,7.165799999999999e-06,5.4744e-06,0.22933,0.45653,0.31413,11.7319699,33.525106813241564,2.9587838342665,25,Jahm,rve_385,377000000.0,2.3e-06
rve_390/sim_0/results__thermal_conductivity.json,0.4276,0.5724,2.1594e-05,9.3397e-06,9.7643e-06,5.1109e-06,0.039098,0.40802,0.55288,9.23268269,33.525106813241564,2.9587838342665,25,Jahm,rve_390,377000000.0,2.3e-06
rve_391/sim_0/results__thermal_conductivity.json,0.68417,0.31583,1.2547999999999999e-05,2.5957999999999998e-05,6.5452000000000005e-06,1.2237e-05,0.66443,0.30628,0.029286,19.0644671,33.525106813241564,2.9587838342665,25,Jahm,rve_391,377000000.0,2.3e-06
rve_392/sim_0/results__thermal_conductivity.json,0.6796,0.3204,1.9682e-05,7.4117e-06,9.343299999999999e-06,4.5636e-06,0.20345,0.48013,0.31642,17.1187859,33.525106813241564,2.9587838342665,25,Jahm,rve_392,377000000.0,2.3e-06
rve_393/sim_0/results__thermal_conductivity.json,0.78713,0.21287,2.2664999999999997e-05,8.4082e-06,1.0946e-05,4.996e-06,0.32408,0.50728,0.16864,21.3030389,33.525106813241564,2.9587838342665,25,Jahm,rve_393,377000000.0,2.3e-06
rve_395/sim_0/results__thermal_conductivity.json,0.11533,0.88467,9.317399999999998e-06,1.4509999999999998e-05,5.3686e-06,7.2613e-06,0.029412,0.27691,0.69367,4.19667826,33.525106813241564,2.9587838342665,25,Jahm,rve_395,377000000.0,2.3e-06
rve_396/sim_0/results__thermal_conductivity.json,0.057438,0.94256,8.204e-06,1.156e-05,4.0679e-06,5.4642999999999995e-06,0.0062026,0.14748,0.84631,3.43530736,33.525106813241564,2.9587838342665,25,Jahm,rve_396,377000000.0,2.3e-06
rve_397/sim_0/results__thermal_conductivity.json,0.51795,0.48205,1.0735e-05,1.2654999999999998e-05,5.0917e-06,5.8047000000000005e-06,0.33137,0.45251,0.21612,12.4089392,33.525106813241564,2.9587838342665,25,Jahm,rve_397,377000000.0,2.3e-06
rve_398/sim_0/results__thermal_conductivity.json,0.20012,0.79988,7.4848e-06,1.6624e-05,4.6886e-06,8.0722e-06,0.16911,0.3752,0.45568,5.58030128,33.525106813241564,2.9587838342665,25,Jahm,rve_398,377000000.0,2.3e-06
rve_400/sim_0/results__thermal_conductivity.json,0.82423,0.17577,1.4791e-05,1.0952999999999998e-05,7.1429e-06,5.6317e-06,0.60459,0.34297,0.052438,23.3121734,33.525106813241564,2.9587838342665,25,Jahm,rve_400,377000000.0,2.3e-06
rve_401/sim_0/results__thermal_conductivity.json,0.66552,0.33448,1.3324e-05,1.5067999999999999e-05,6.3711e-06,7.0026e-06,0.47152,0.4405,0.087986,17.3518447,33.525106813241564,2.9587838342665,25,Jahm,rve_401,377000000.0,2.3e-06
rve_402/sim_0/results__thermal_conductivity.json,0.73768,0.26232,3.7149e-05,8.3217e-06,1.5572e-05,5.7659999999999995e-06,0.15132,0.46037,0.38831,19.0812219,33.525106813241564,2.9587838342665,25,Jahm,rve_402,377000000.0,2.3e-06
rve_404/sim_0/results__thermal_conductivity.json,0.28166,0.71834,9.1231e-06,1.4961999999999998e-05,4.8761e-06,6.9621e-06,0.1564,0.4741,0.36949,6.604832,33.525106813241564,2.9587838342665,25,Jahm,rve_404,377000000.0,2.3e-06
rve_405/sim_0/results__thermal_conductivity.json,0.24719,0.75281,8.7662e-06,1.4429e-05,5.0468e-06,7.048e-06,0.12829,0.44686,0.42485,6.38773897,33.525106813241564,2.9587838342665,25,Jahm,rve_405,377000000.0,2.3e-06
rve_406/sim_0/results__thermal_conductivity.json,0.21348,0.78652,8.059699999999998e-06,1.2637e-05,4.2049e-06,6.2186999999999994e-06,0.09466,0.40981,0.49553,5.82895417,33.525106813241564,2.9587838342665,25,Jahm,rve_406,377000000.0,2.3e-06
rve_407/sim_0/results__thermal_conductivity.json,0.73144,0.26856,5.0622e-05,9.209199999999998e-06,1.3978999999999998e-05,5.902199999999999e-06,,0.52984,0.47016,21.1794122,33.525106813241564,2.9587838342665,25,Jahm,rve_407,377000000.0,2.3e-06
rve_408/sim_0/results__thermal_conductivity.json,0.38908,0.61092,2.014e-05,1.1703e-05,9.901300000000001e-06,6.2933e-06,0.089616,0.36131,0.54908,8.69341743,33.525106813241564,2.9587838342665,25,Jahm,rve_408,377000000.0,2.3e-06
rve_409/sim_0/results__thermal_conductivity.json,0.16961,0.83039,7.1523999999999995e-06,2.6102e-05,4.746e-06,1.2385999999999998e-05,0.20176,0.45185,0.34639,5.27381835,33.525106813241564,2.9587838342665,25,Jahm,rve_409,377000000.0,2.3e-06
rve_410/sim_0/results__thermal_conductivity.json,0.74229,0.25771,1.168e-05,9.462300000000001e-06,5.461e-06,4.4847e-06,0.51502,0.37534,0.10964,19.6151074,33.525106813241564,2.9587838342665,25,Jahm,rve_410,377000000.0,2.3e-06
rve_411/sim_0/results__thermal_conductivity.json,0.69738,0.30262,3.0504999999999997e-05,8.487199999999999e-06,1.3279e-05,5.3132e-06,0.164,0.4524,0.3836,18.2955765,33.525106813241564,2.9587838342665,25,Jahm,rve_411,377000000.0,2.3e-06
rve_412/sim_0/results__thermal_conductivity.json,0.50582,0.49418,1.3941000000000001e-05,1.5930999999999997e-05,6.932e-06,7.2224e-06,0.25756,0.56288,0.17956,12.3141494,33.525106813241564,2.9587838342665,25,Jahm,rve_412,377000000.0,2.3e-06
