,volume_fraction_al2o3,volume_fraction_zro2,chord_length_mean_al2o3,chord_length_mean_zro2,chord_length_variance_al2o3,chord_length_variance_zro2,interface_al2o3_al2o3,interface_al2o3_zro2,interface_zro2_zro2,thermal_conductivity_composite,thermal_conductivity_al2o3,thermal_conductivity_zro2,temperature,data_source_Al2O3,rve,tcc,RVE_scaling_factor
rve_452/sim_0/results__thermal_conductivity.json,0.39522,0.60478,8.6363e-06,1.9494e-05,4.9602e-06,9.1507e-06,0.35798,0.47589,0.16614,10.007654,33.525106813241564,2.9587838342665,25,Jahm,rve_452,377000000.0,2.3e-06
rve_453/sim_0/results__thermal_conductivity.json,0.034542,0.96546,6.8381e-06,1.262e-05,3.7327e-06,6.118999999999999e-06,0.0027445,0.11776,0.87949,3.25409139,33.525106813241564,2.9587838342665,25,Jahm,rve_453,377000000.0,2.3e-06
rve_454/sim_0/results__thermal_conductivity.json,0.48973,0.51027,9.4167e-06,2.7449e-05,5.483799999999999e-06,1.2074999999999999e-05,0.56712,0.3432,0.089681,12.7022383,33.525106813241564,2.9587838342665,25,Jahm,rve_454,377000000.0,2.3e-06
rve_455/sim_0/results__thermal_conductivity.json,0.80514,0.19486,2.2594999999999996e-05,8.3436e-06,1.1401999999999999e-05,5.4084e-06,0.38307,0.4456,0.17133,22.3554232,33.525106813241564,2.9587838342665,25,Jahm,rve_455,377000000.0,2.3e-06
rve_456/sim_0/results__thermal_conductivity.json,0.61953,0.38047,1.3718999999999999e-05,9.972699999999999e-06,6.1901e-06,4.8638e-06,0.30816,0.47214,0.2197,15.4790489,33.525106813241564,2.9587838342665,25,Jahm,rve_456,377000000.0,2.3e-06
rve_457/sim_0/results__thermal_conductivity.json,0.11288,0.88712,8.7464e-06,1.3182e-05,4.2886e-06,6.0677e-06,0.026643,0.26694,0.70642,4.06211568,33.525106813241564,2.9587838342665,25,Jahm,rve_457,377000000.0,2.3e-06
rve_458/sim_0/results__thermal_conductivity.json,0.9582,0.041798,1.0361e-05,1.7289e-05,4.9248e-06,7.1725e-06,0.9481,0.051898,,27.7158592,33.525106813241564,2.9587838342665,25,Jahm,rve_458,377000000.0,2.3e-06
rve_459/sim_0/results__thermal_conductivity.json,0.28039,0.71961,1.2506999999999999e-05,1.4849999999999998e-05,6.0486e-06,7.0349e-06,0.083214,0.47059,0.4462,6.59709627,33.525106813241564,2.9587838342665,25,Jahm,rve_459,377000000.0,2.3e-06
rve_460/sim_0/results__thermal_conductivity.json,0.46324,0.53676,1.0829e-05,1.0298999999999999e-05,5.0152e-06,4.8622e-06,0.20626,0.49057,0.30317,10.7790665,33.525106813241564,2.9587838342665,25,Jahm,rve_460,377000000.0,2.3e-06
rve_461/sim_0/results__thermal_conductivity.json,0.12846,0.87154,6.565e-06,1.6800999999999997e-05,4.4583999999999995e-06,8.2956e-06,0.10567,0.33609,0.55825,4.42276382,33.525106813241564,2.9587838342665,25,Jahm,rve_461,377000000.0,2.3e-06
rve_462/sim_0/results__thermal_conductivity.json,0.74847,0.25153,2.1783e-05,8.6013e-06,1.0327e-05,5.4603e-06,0.3154,0.45213,0.23247,19.9224983,33.525106813241564,2.9587838342665,25,Jahm,rve_462,377000000.0,2.3e-06
rve_463/sim_0/results__thermal_conductivity.json,0.23997,0.76003,7.8835e-06,2.0546e-05,5.001299999999999e-06,1.0048e-05,0.25747,0.38696,0.35557,6.06670086,33.525106813241564,2.9587838342665,25,Jahm,rve_463,377000000.0,2.3e-06
rve_464/sim_0/results__thermal_conductivity.json,0.3121,0.6879,9.5946e-06,1.6905e-05,5.266799999999999e-06,8.1934e-06,0.21766,0.45641,0.32593,7.68771668,33.525106813241564,2.9587838342665,25,Jahm,rve_464,377000000.0,2.3e-06
rve_465/sim_0/results__thermal_conductivity.json,0.74116,0.25884,1.4704999999999999e-05,9.8968e-06,7.2736999999999995e-06,5.3312e-06,0.45616,0.40276,0.14107,20.0416493,33.525106813241564,2.9587838342665,25,Jahm,rve_465,377000000.0,2.3e-06
rve_466/sim_0/results__thermal_conductivity.json,0.68807,0.31193,1.5291e-05,1.0385999999999998e-05,7.2221e-06,5.355299999999999e-06,0.35693,0.48712,0.15595,17.8729331,33.525106813241564,2.9587838342665,25,Jahm,rve_466,377000000.0,2.3e-06
rve_467/sim_0/results__thermal_conductivity.json,0.3144,0.6856,1.2077e-05,1.5788999999999997e-05,6.1271e-06,7.1938000000000005e-06,0.16403,0.42179,0.41418,7.42880745,33.525106813241564,2.9587838342665,25,Jahm,rve_467,377000000.0,2.3e-06
rve_468/sim_0/results__thermal_conductivity.json,0.073292,0.92671,1.2682999999999999e-05,1.3307e-05,5.8783e-06,6.1855e-06,0.00053952,0.15214,0.84732,3.56768525,33.525106813241564,2.9587838342665,25,Jahm,rve_468,377000000.0,2.3e-06
rve_469/sim_0/results__thermal_conductivity.json,0.11679,0.88321,1.0293e-05,1.1122e-05,4.7068e-06,5.2393e-06,0.017709,0.2152,0.76709,4.03800057,33.525106813241564,2.9587838342665,25,Jahm,rve_469,377000000.0,2.3e-06
rve_470/sim_0/results__thermal_conductivity.json,0.77415,0.22585,1.6254e-05,1.2185e-05,7.9513e-06,6.2587e-06,0.50599,0.42545,0.068552,21.2939559,33.525106813241564,2.9587838342665,25,Jahm,rve_470,377000000.0,2.3e-06
rve_471/sim_0/results__thermal_conductivity.json,0.25156,0.74844,1.1794e-05,1.0535e-05,5.474999999999999e-06,4.9256e-06,0.049119,0.36476,0.58612,6.02301479,33.525106813241564,2.9587838342665,25,Jahm,rve_471,377000000.0,2.3e-06
rve_472/sim_0/results__thermal_conductivity.json,0.63939,0.36061,1.4821999999999998e-05,8.1586e-06,6.9194999999999996e-06,4.2601e-06,0.2401,0.50675,0.25314,15.5628733,33.525106813241564,2.9587838342665,25,Jahm,rve_472,377000000.0,2.3e-06
rve_473/sim_0/results__thermal_conductivity.json,0.29116,0.70884,7.2342999999999995e-06,1.9937999999999998e-05,4.5533e-06,9.430199999999998e-06,0.31287,0.43861,0.24853,7.52745125,33.525106813241564,2.9587838342665,25,Jahm,rve_473,377000000.0,2.3e-06
rve_481/sim_0/results__thermal_conductivity.json,0.58691,0.41309,1.3853e-05,9.862500000000001e-06,6.544699999999999e-06,5.0686e-06,0.25416,0.49481,0.25103,14.259962,33.525106813241564,2.9587838342665,25,Jahm,rve_481,377000000.0,2.3e-06
rve_482/sim_0/results__thermal_conductivity.json,0.97537,0.024632,1.3678e-05,5.727299999999999e-06,6.859e-06,3.6389e-06,0.88748,0.11252,,29.1126204,33.525106813241564,2.9587838342665,25,Jahm,rve_482,377000000.0,2.3e-06
rve_483/sim_0/results__thermal_conductivity.json,0.6513,0.3487,1.057e-05,1.4896e-05,5.129699999999999e-06,6.7899e-06,0.51616,0.41417,0.069667,17.0318819,33.525106813241564,2.9587838342665,25,Jahm,rve_483,377000000.0,2.3e-06
rve_484/sim_0/results__thermal_conductivity.json,0.81849,0.18151,1.1207e-05,8.47e-06,5.2871e-06,4.1321e-06,0.6062,0.33563,0.058165,22.1828022,33.525106813241564,2.9587838342665,25,Jahm,rve_484,377000000.0,2.3e-06
rve_485/sim_0/results__thermal_conductivity.json,0.22588,0.77412,7.37e-06,2.1133999999999998e-05,4.6348e-06,1.008e-05,0.22142,0.4736,0.30498,5.96112733,33.525106813241564,2.9587838342665,25,Jahm,rve_485,377000000.0,2.3e-06
rve_486/sim_0/results__thermal_conductivity.json,0.17568,0.82432,8.9163e-06,1.4941e-05,4.873599999999999e-06,7.3841e-06,0.073913,0.37826,0.54783,5.05859932,33.525106813241564,2.9587838342665,25,Jahm,rve_486,377000000.0,2.3e-06
rve_487/sim_0/results__thermal_conductivity.json,0.056728,0.94327,5.6639999999999995e-06,1.1224999999999998e-05,3.3168e-06,5.4870999999999995e-06,0.0119,0.18866,0.79944,3.49459592,33.525106813241564,2.9587838342665,25,Jahm,rve_487,377000000.0,2.3e-06
rve_489/sim_0/results__thermal_conductivity.json,0.26825,0.73175,1.0324e-05,1.3970999999999999e-05,5.1478999999999995e-06,6.5002e-06,0.097352,0.46937,0.43328,6.43324674,33.525106813241564,2.9587838342665,25,Jahm,rve_489,377000000.0,2.3e-06
rve_491/sim_0/results__thermal_conductivity.json,0.54235,0.45765,1.8528999999999998e-05,1.1485e-05,8.244599999999999e-06,6.144499999999999e-06,0.15793,0.53506,0.30701,13.2899772,33.525106813241564,2.9587838342665,25,Jahm,rve_491,377000000.0,2.3e-06
rve_492/sim_0/results__thermal_conductivity.json,0.43707,0.56293,1.3068e-05,1.0804e-05,6.0643e-06,5.2394999999999996e-06,0.16072,0.45792,0.38136,9.53329811,33.525106813241564,2.9587838342665,25,Jahm,rve_492,377000000.0,2.3e-06
rve_494/sim_0/results__thermal_conductivity.json,0.52781,0.47219,1.2717e-05,8.8477e-06,5.8522e-06,4.4771e-06,0.20605,0.46184,0.33212,12.7153649,33.525106813241564,2.9587838342665,25,Jahm,rve_494,377000000.0,2.3e-06
rve_495/sim_0/results__thermal_conductivity.json,0.21233,0.78767,8.065e-06,1.2732e-05,4.166999999999999e-06,6.1302e-06,0.099908,0.3964,0.50369,5.57450615,33.525106813241564,2.9587838342665,25,Jahm,rve_495,377000000.0,2.3e-06
rve_496/sim_0/results__thermal_conductivity.json,0.75497,0.24503,1.7187e-05,1.0392e-05,8.6613e-06,5.615e-06,0.4259,0.44699,0.12711,20.8636029,33.525106813241564,2.9587838342665,25,Jahm,rve_496,377000000.0,2.3e-06
rve_497/sim_0/results__thermal_conductivity.json,0.80867,0.19133,1.421e-05,2.9306999999999996e-05,7.1600999999999994e-06,1.223e-05,0.79551,0.20449,,23.2721975,33.525106813241564,2.9587838342665,25,Jahm,rve_497,377000000.0,2.3e-06
rve_498/sim_0/results__thermal_conductivity.json,0.53877,0.46123,9.577299999999999e-06,1.6056e-05,4.8971999999999995e-06,7.2156e-06,0.44556,0.43455,0.11989,13.3846604,33.525106813241564,2.9587838342665,25,Jahm,rve_498,377000000.0,2.3e-06
rve_499/sim_0/results__thermal_conductivity.json,0.52686,0.47314,1.2611e-05,8.7782e-06,5.928e-06,4.5391e-06,0.19524,0.48362,0.32114,11.8459788,33.525106813241564,2.9587838342665,25,Jahm,rve_499,377000000.0,2.3e-06
